Created as New Dataset,
nm,A
447.0,0.3961
446.0,0.4013
445.0,0.4057
444.0,0.4106
443.0,0.4154
442.0,0.4198
441.0,0.4245
440.0,0.4292
439.0,0.4337
438.0,0.4381
437.0,0.4425
436.0,0.4468
435.0,0.4510
434.0,0.4556
433.0,0.4598
432.0,0.4636
431.0,0.4676
430.0,0.4713
429.0,0.4751
428.0,0.4789
427.0,0.4823
426.0,0.4858
425.0,0.4893
424.0,0.4931
423.0,0.4964
422.0,0.5000
421.0,0.5035
420.0,0.5066
419.0,0.5103
418.0,0.5142
417.0,0.5178
416.0,0.5215
415.0,0.5255
414.0,0.5294
413.0,0.5335
412.0,0.5376
411.0,0.5416
410.0,0.5456
409.0,0.5500
408.0,0.5541
407.0,0.5583
406.0,0.5626
405.0,0.5666
404.0,0.5709
403.0,0.5755
402.0,0.5795
401.0,0.5838
400.0,0.5882
399.0,0.5930
398.0,0.5985
397.0,0.6036
396.0,0.6091
395.0,0.6151
394.0,0.6205
393.0,0.6259
392.0,0.6307
391.0,0.6342
390.0,0.6379
389.0,0.6415
388.0,0.6454
387.0,0.6494
386.0,0.6535
385.0,0.6576
384.0,0.6614
383.0,0.6655
382.0,0.6700
381.0,0.6746
380.0,0.6795
379.0,0.6835
378.0,0.6841
377.0,0.6890
376.0,0.6950
375.0,0.7015
374.0,0.7078
373.0,0.7143
372.0,0.7197
371.0,0.7240
370.0,0.7289
369.0,0.7336
368.0,0.7379
367.0,0.7423
366.0,0.7469
365.0,0.7516
364.0,0.7562
363.0,0.7613
362.0,0.7659
361.0,0.7711
360.0,0.7771
359.0,0.7820
358.0,0.7877
357.0,0.7941
356.0,0.8000
355.0,0.8064
354.0,0.8122
353.0,0.8181
352.0,0.8237
351.0,0.8293
350.0,0.8346
349.0,0.8398
348.0,0.8452
347.0,0.8503
346.0,0.8563
345.0,0.8622
344.0,0.8685
343.0,0.8746
342.0,0.8805
341.0,0.8872
340.0,0.8939
339.0,0.9001
338.0,0.9069
337.0,0.9135
336.0,0.9203
335.0,0.9274
334.0,0.9340
333.0,0.9411
332.0,0.9475
331.0,0.9543
330.0,0.9619
329.0,0.9699
328.0,0.9766
327.0,0.9839
326.0,0.9918
325.0,0.9992
324.0,1.0074
323.0,1.0151
322.0,1.0227
321.0,1.0311
320.0,1.0400
319.0,1.0481
318.0,1.0586
317.0,1.0713
316.0,1.0803
315.0,1.0894
314.0,1.0984
313.0,1.1074
312.0,1.1163
311.0,1.1252
310.0,1.1344
309.0,1.1438
308.0,1.1539
307.0,1.1636
306.0,1.1737
305.0,1.1834
304.0,1.1942
303.0,1.2048
302.0,1.2154
301.0,1.2268
300.0,1.2386
299.0,1.2509
298.0,1.2636
297.0,1.2780
296.0,1.2931
295.0,1.3084
294.0,1.3251
293.0,1.3418
292.0,1.3564
291.0,1.3698
290.0,1.3810
289.0,1.3877
288.0,1.3855
287.0,1.3688
286.0,1.3260
285.0,1.2322
284.0,1.0572
283.0,0.8082
282.0,0.5828
281.0,0.4651
280.0,0.4399
279.0,0.4415
278.0,0.4471
277.0,0.4583
276.0,0.4649
275.0,0.4722
274.0,0.4849
273.0,0.5004
272.0,0.5200
271.0,0.5387
270.0,0.5441
269.0,0.5317
268.0,0.5258
267.0,0.5473
266.0,0.5763
265.0,0.5945
264.0,0.6092
263.0,0.6217
262.0,0.6310
261.0,0.6450
260.0,0.6676
259.0,0.6908
258.0,0.7121
257.0,0.7372
256.0,0.7581
255.0,0.7759
254.0,0.7952
253.0,0.8137
252.0,0.8276
251.0,0.8369
250.0,0.8469
